0
//==Enable			Type  (1 là cộng dồn chỉ số, 0 thì chỉ tính ở cấp đó)
	1				1		
end

1
//WcoinC      MinLv     MaxLv  soluongitem  type  index	 SatThuong   SatThuongX2       PhongThu  		HP    	 SD           GST
   50000000	   1		10 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    11		20 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    21		30 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    31		40 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    41		50 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    51		60 	      0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    61		70 	      0 	    12     15      0        		0            10   			20000     5000   		  0
   50000000    71		80 	      0 	    12     15      0        		0            10   			20000     5000   		  0
   50000000    81		90 	      0 	    12     15      0        		0            10   			20000     5000   		  0
   50000000    91		100       0  	    12     15      0        		0            10   			20000     5000   		  0
   50000000    101		110       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000    111		120       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000    121		130       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   131		140       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000    141		150       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   151		160       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   161		170       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   171		180       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   181		190       0  	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   191		200       0 	    12     15      0        		0            20   			40000     5000   		  0
   50000000	   201		210       0 	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   211		220       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   221		230       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   231		240       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   241		250       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   251		260       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   261		270       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   271		280       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   281		290       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   291		300       0  	    12     15      0        		0            30   			60000     5000   		  0
   50000000	   301		310       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000	   311		320       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000	   321		330       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000	   331		340       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000	   341		350       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000	   351		360       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000     361		370       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000     371		380       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000     381		390       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000     391		400       0  	    12     15      0        		0            40   			80000     5000   		  0
   50000000     401		410       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000     411		420       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   421		430       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   431		440       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   441		450       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   451		460       0  	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   461		470       0   	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   471		480       0   	    12     15      0        		0            50   			100000    5000   		  0
   50000000	   481		490       0   	    12     15      0        		0            50   			100000    5000   		  1
   50000000	   491		500       0   	    12     15      0        		0            50   			100000    5000   		  1
end                                                                                                                       
