/////////////////////////////////////////////////////////////////////////////
//Shop tạo bởi GoldMU.Net [Shop Editor]
//SDT Zalo: 0987 819 266
///////////////////////////
//Shop: 008 - Zienna the Weapon Merchant
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur		Skill	Luck	Option	ExcOpt	Anc		JoH		Oex		Socket1	Socket2	Socket3	Socket4	Socket5	ItemName
/////////////////////////////////////////////////////////////////////////////
//
7		37		9		255		0		1		1		0		0		0		0		255		255		255		255		255		//Mũ
8		37		9		255		0		1		1		0		0		0		0		255		255		255		255		255		//Áo
9		37		9		255		0		1		1		0		0		0		0		255		255		255		255		255		//Quần
10		37		9		255		0		1		1		0		0		0		0		255		255		255		255		255		//Tay
11		37		9		255		0		1		1		0		0		0		0		255		255		255		255		255		//Giày
0		21		9		255		1		1		1		0		0		0		0		255		255		255		255		255		//Kiếm
6		13		9		255		1		1		1		0		0		0		0		255		255		255		255		255		//Khiên
                                                        

15		29		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Bão Ánh Sáng
12		16		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Ngọc Chém Lửa
12		13		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Ngọc Đâm Xoáy
12		47		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Ngọc Kiếm Lửa
end
