//Index   	  Level        Grade  	  Option0    Option1  	 Option2   	 Option3   	 Option4  	 Option5   	 Option6   	 Duration    MapNumber 	   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6159      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			12      		150      		200      	//混沌宝石
6214      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			58      		76      		0      		//模具 (1级)
6215      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			77      		101      		0      		//模具 (2级)
6216      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			102      		150      		0      		//模具 (3级)
6670      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		10      		*      			25      		150      		10      	//羽毛 
6670      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		10      		*      			25      		150      		10      	//皇族徽章
6672      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			1      		 	32      		0	      	//圣旨 1
6672      		2      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			33      		45      		0	      	//圣旨 2
6672      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		57      		0	      	//圣旨 3
6672      		4      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			58      		68      		0	      	//圣旨 4
6672      		5      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			69      		76      		0	      	//圣旨 5
6672      		6      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			77      		84      		0	      	//圣旨 6
6672      		7      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			85      		101      		0	      	//圣旨 7
6672      		8      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			102     		150      		0	      	//圣旨 8
6673      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			1      			32      		0	      	//血牙 1
6673      		2      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			33      		45      		0	      	//血牙 2
6673      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		57      		0	      	//血牙 3
6673      		4      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			58      		68      		0	      	//血牙 4
6673      		5      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			69      		76      		0	      	//血牙 5
6673      		6      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			77      		84      		0	      	//血牙 6
6673      		7      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			85      		101      		0	      	//血牙 7
6673      		8      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			102      		150      		0	      	//血牙 8
6687      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		38      		*      			25      		150      		200      	//战马之魂
6687      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		38      		*      			25      		150      		150      	//乌鸦之魂
6688      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		34      		*      			97      		134      		0      		//盔甲碎片
6689      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		34      		*      			97      		134      		0      		//女神保护
6690      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		34      		*      			97      		134      		0      		//狼牙
6694      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		38      		*      			25      		150      		1000      	//月之戒指
6708      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		41      		*      			25      		150      		0      		//神鹰之魂
7181      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			25      		150      		200      	//愿望宝石
7182      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			25      		150      		200      	//心灵宝石
7184      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		150      		200      	//生命宝石
7185      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			1      			32      		0	      	//鬼之眼 1
7185      		2      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			33      		45      		0	      	//鬼之眼 2
7185      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		57      		0	      	//鬼之眼 3
7185      		4      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			58      		68      		0	      	//鬼之眼 4
7185      		5      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			69      		76      		0	      	//鬼之眼 5
7185      		6      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			77      		84      		0	      	//鬼之眼 6
7185      		7      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			85      		150      		0	      	//鬼之眼 7
7186      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			1      			32      		0	      	//鬼钥匙 1
7186      		2      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			33      		45      		0	      	//鬼钥匙 2
7186      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		57      		0	      	//鬼钥匙 3
7186      		4      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			58      		68      		0	      	//鬼钥匙 4
7186      		5      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			69      		76      		0	      	//鬼钥匙 5
7186      		6      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			77      		84      		0	      	//鬼钥匙 6
7186      		7      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			85      		150      		0	      	//鬼钥匙 7
7189      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			25      		150      		0      		//Rena徽章
7190      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			46      		150      		200      	//创造宝石
7197      		1      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			25      		46      		0	      	//昆顿徽章 1
7197      		2      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			47      		65      		0	      	//昆顿徽章 2
7197      		3      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			66      		77      		0	      	//昆顿徽章 3
7197      		4      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			78      		83      		0	      	//昆顿徽章 4
