//=================================================
// 配置 : DUY ĐẠT
// Zalo: DUY ĐẠT - 0961.87.37.67
//=================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Green Ribbon Box"	 	1000	   100		  		1		  		0		    		0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent	Rate
13           08     0          0          0       0      1        1			100 //冰戒指
13           09     0          0          0       0      1        1			100 //毒之戒指
13           21     0          0          0       0      1        1			100 //火焰戒指
13           22     0          0          0       0      1        1			100 //大地戒指
13           23     0          0          0       0      1        1			100 //风戒指
13           24     0          0          0       0      1        1			100 //魔法戒指
13           25     0          0          0       0      1        1			100 //冰之项链
13           26     0          0          0       0      1        1			100 //风之项链
13           27     0          0          0       0      1        1			100 //水之项链
13           28     0          0          0       0      1        1			100 //技能项链

end
